"disease"	"admin1"	"week"	"year"	"cases"	"admin1_name"
"132"	"ZIKV"	44	45	2015	5	"Guajira"
"133"	"ZIKV"	47	45	2015	68	"Magdalena"
"134"	"ZIKV"	50	45	2015	3	"Meta"
"135"	"ZIKV"	52	45	2015	1	"Narino"
"136"	"ZIKV"	54	45	2015	79	"Norte Santander"
"137"	"ZIKV"	66	45	2015	3	"Risaralda"
"138"	"ZIKV"	68	45	2015	7	"Santander"
"139"	"ZIKV"	70	45	2015	89	"Sucre"
"140"	"ZIKV"	73	45	2015	123	"Tolima"
"141"	"ZIKV"	81	45	2015	2	"Arauca"
"142"	"ZIKV"	85	45	2015	2	"Casanare"
"143"	"ZIKV"	86	45	2015	6	"Putumayo"
"144"	"ZIKV"	88	45	2015	271	"San Andres"
"145"	"ZIKV"	5	46	2015	5	"Antioquia"
"146"	"ZIKV"	8	46	2015	117	"Atlantico"
"147"	"ZIKV"	13	46	2015	100	"Bolivar"
"148"	"ZIKV"	15	46	2015	1	"Boyaca"
"149"	"ZIKV"	17	46	2015	1	"Caldas"
"150"	"ZIKV"	20	46	2015	6	"Cesar"
"151"	"ZIKV"	23	46	2015	69	"Cordoba"
"152"	"ZIKV"	25	46	2015	281	"Cundinamarca"
"153"	"ZIKV"	27	46	2015	1	"Choco"
"154"	"ZIKV"	41	46	2015	18	"Huila"
"155"	"ZIKV"	44	46	2015	15	"Guajira"
"156"	"ZIKV"	47	46	2015	114	"Magdalena"
"157"	"ZIKV"	50	46	2015	2	"Meta"
"158"	"ZIKV"	52	46	2015	5	"Narino"
"159"	"ZIKV"	54	46	2015	75	"Norte Santander"
"160"	"ZIKV"	66	46	2015	2	"Risaralda"
"161"	"ZIKV"	68	46	2015	2	"Santander"
"162"	"ZIKV"	70	46	2015	125	"Sucre"
"163"	"ZIKV"	73	46	2015	99	"Tolima"
"164"	"ZIKV"	85	46	2015	3	"Casanare"
"165"	"ZIKV"	86	46	2015	3	"Putumayo"
"166"	"ZIKV"	88	46	2015	167	"San Andres"
"167"	"ZIKV"	5	47	2015	2	"Antioquia"
"168"	"ZIKV"	8	47	2015	281	"Atlantico"
"169"	"ZIKV"	13	47	2015	65	"Bolivar"
"170"	"ZIKV"	15	47	2015	1	"Boyaca"
"171"	"ZIKV"	17	47	2015	3	"Caldas"
"172"	"ZIKV"	20	47	2015	12	"Cesar"
"173"	"ZIKV"	23	47	2015	108	"Cordoba"
"174"	"ZIKV"	25	47	2015	323	"Cundinamarca"
"175"	"ZIKV"	41	47	2015	21	"Huila"
"176"	"ZIKV"	44	47	2015	24	"Guajira"
"177"	"ZIKV"	47	47	2015	144	"Magdalena"
"178"	"ZIKV"	54	47	2015	89	"Norte Santander"
"179"	"ZIKV"	66	47	2015	4	"Risaralda"
"180"	"ZIKV"	68	47	2015	2	"Santander"
"181"	"ZIKV"	70	47	2015	94	"Sucre"
"182"	"ZIKV"	73	47	2015	56	"Tolima"
"183"	"ZIKV"	76	47	2015	3	"Valle del Cauca"
"184"	"ZIKV"	81	47	2015	2	"Arauca"
"185"	"ZIKV"	85	47	2015	3	"Casanare"
"186"	"ZIKV"	88	47	2015	81	"San Andres"
"187"	"ZIKV"	91	47	2015	1	"Amazonas"
"188"	"ZIKV"	95	47	2015	1	"Guaviare"
"189"	"ZIKV"	5	48	2015	5	"Antioquia"
"190"	"ZIKV"	8	48	2015	356	"Atlantico"
"191"	"ZIKV"	13	48	2015	78	"Bolivar"
"192"	"ZIKV"	15	48	2015	2	"Boyaca"
"193"	"ZIKV"	18	48	2015	1	"Caqueta"
"194"	"ZIKV"	20	48	2015	18	"Cesar"
"195"	"ZIKV"	23	48	2015	85	"Cordoba"
"196"	"ZIKV"	25	48	2015	361	"Cundinamarca"
"197"	"ZIKV"	41	48	2015	46	"Huila"
"198"	"ZIKV"	44	48	2015	15	"Guajira"
"199"	"ZIKV"	47	48	2015	206	"Magdalena"
"200"	"ZIKV"	54	48	2015	174	"Norte Santander"
"201"	"ZIKV"	66	48	2015	5	"Risaralda"
"202"	"ZIKV"	68	48	2015	4	"Santander"
"203"	"ZIKV"	70	48	2015	146	"Sucre"
"204"	"ZIKV"	73	48	2015	147	"Tolima"
"205"	"ZIKV"	76	48	2015	2	"Valle del Cauca"
"206"	"ZIKV"	81	48	2015	1	"Arauca"
"207"	"ZIKV"	85	48	2015	2	"Casanare"
"208"	"ZIKV"	86	48	2015	12	"Putumayo"
"209"	"ZIKV"	88	48	2015	35	"San Andres"
"210"	"ZIKV"	94	48	2015	1	"Guainia"
"211"	"ZIKV"	5	49	2015	4	"Antioquia"
"212"	"ZIKV"	8	49	2015	421	"Atlantico"
"213"	"ZIKV"	13	49	2015	71	"Bolivar"
"214"	"ZIKV"	17	49	2015	3	"Caldas"
"215"	"ZIKV"	18	49	2015	4	"Caqueta"
"216"	"ZIKV"	20	49	2015	39	"Cesar"
"217"	"ZIKV"	23	49	2015	125	"Cordoba"
"218"	"ZIKV"	25	49	2015	209	"Cundinamarca"
"219"	"ZIKV"	41	49	2015	76	"Huila"
"220"	"ZIKV"	44	49	2015	19	"Guajira"
"221"	"ZIKV"	47	49	2015	168	"Magdalena"
"222"	"ZIKV"	50	49	2015	1	"Meta"
"223"	"ZIKV"	52	49	2015	1	"Narino"
"224"	"ZIKV"	54	49	2015	192	"Norte Santander"
"225"	"ZIKV"	66	49	2015	1	"Risaralda"
"226"	"ZIKV"	68	49	2015	4	"Santander"
"227"	"ZIKV"	70	49	2015	137	"Sucre"
"228"	"ZIKV"	73	49	2015	106	"Tolima"
"229"	"ZIKV"	76	49	2015	2	"Valle del Cauca"
"230"	"ZIKV"	85	49	2015	2	"Casanare"
"231"	"ZIKV"	86	49	2015	5	"Putumayo"
"232"	"ZIKV"	88	49	2015	28	"San Andres"
"233"	"ZIKV"	91	49	2015	1	"Amazonas"
"234"	"ZIKV"	5	50	2015	7	"Antioquia"
"235"	"ZIKV"	8	50	2015	532	"Atlantico"
"236"	"ZIKV"	13	50	2015	95	"Bolivar"
"237"	"ZIKV"	17	50	2015	1	"Caldas"
"238"	"ZIKV"	18	50	2015	2	"Caqueta"
"239"	"ZIKV"	20	50	2015	38	"Cesar"
"240"	"ZIKV"	23	50	2015	169	"Cordoba"
"241"	"ZIKV"	25	50	2015	125	"Cundinamarca"
"242"	"ZIKV"	41	50	2015	151	"Huila"
"243"	"ZIKV"	44	50	2015	31	"Guajira"
"244"	"ZIKV"	47	50	2015	230	"Magdalena"
"245"	"ZIKV"	50	50	2015	2	"Meta"
"246"	"ZIKV"	54	50	2015	331	"Norte Santander"
"247"	"ZIKV"	63	50	2015	1	"Quindio"
"248"	"ZIKV"	66	50	2015	4	"Risaralda"
"249"	"ZIKV"	68	50	2015	1	"Santander"
"250"	"ZIKV"	70	50	2015	98	"Sucre"
"251"	"ZIKV"	73	50	2015	88	"Tolima"
"252"	"ZIKV"	76	50	2015	1	"Valle del Cauca"
"253"	"ZIKV"	85	50	2015	3	"Casanare"
"254"	"ZIKV"	86	50	2015	3	"Putumayo"
"255"	"ZIKV"	88	50	2015	53	"San Andres"
"256"	"ZIKV"	5	51	2015	8	"Antioquia"
"257"	"ZIKV"	8	51	2015	422	"Atlantico"
"258"	"ZIKV"	13	51	2015	25	"Bolivar"
"259"	"ZIKV"	15	51	2015	1	"Boyaca"
"260"	"ZIKV"	17	51	2015	1	"Caldas"
"261"	"ZIKV"	18	51	2015	3	"Caqueta"
"262"	"ZIKV"	19	51	2015	1	"Cauca"
"263"	"ZIKV"	20	51	2015	37	"Cesar"
"264"	"ZIKV"	23	51	2015	177	"Cordoba"
"265"	"ZIKV"	25	51	2015	66	"Cundinamarca"
"266"	"ZIKV"	41	51	2015	196	"Huila"
"267"	"ZIKV"	44	51	2015	26	"Guajira"
"268"	"ZIKV"	47	51	2015	132	"Magdalena"
"269"	"ZIKV"	54	51	2015	418	"Norte Santander"
"270"	"ZIKV"	63	51	2015	3	"Quindio"
"271"	"ZIKV"	66	51	2015	3	"Risaralda"
"272"	"ZIKV"	68	51	2015	4	"Santander"
"273"	"ZIKV"	70	51	2015	76	"Sucre"
"274"	"ZIKV"	73	51	2015	85	"Tolima"
"275"	"ZIKV"	76	51	2015	4	"Valle del Cauca"
"276"	"ZIKV"	81	51	2015	3	"Arauca"
"277"	"ZIKV"	85	51	2015	3	"Casanare"
"278"	"ZIKV"	88	51	2015	13	"San Andres"
"279"	"ZIKV"	91	51	2015	1	"Amazonas"
"280"	"ZIKV"	94	51	2015	1	"Guainia"
"281"	"ZIKV"	5	52	2015	7	"Antioquia"
"282"	"ZIKV"	8	52	2015	388	"Atlantico"
"283"	"ZIKV"	13	52	2015	23	"Bolivar"
"284"	"ZIKV"	15	52	2015	1	"Boyaca"
"285"	"ZIKV"	17	52	2015	1	"Caldas"
"286"	"ZIKV"	18	52	2015	7	"Caqueta"
"287"	"ZIKV"	20	52	2015	15	"Cesar"
"288"	"ZIKV"	23	52	2015	126	"Cordoba"
"289"	"ZIKV"	25	52	2015	70	"Cundinamarca"
"290"	"ZIKV"	41	52	2015	202	"Huila"
"291"	"ZIKV"	44	52	2015	18	"Guajira"
"292"	"ZIKV"	47	52	2015	149	"Magdalena"
"293"	"ZIKV"	50	52	2015	3	"Meta"
"294"	"ZIKV"	54	52	2015	486	"Norte Santander"
"295"	"ZIKV"	66	52	2015	6	"Risaralda"
"296"	"ZIKV"	68	52	2015	8	"Santander"
"297"	"ZIKV"	70	52	2015	52	"Sucre"
"298"	"ZIKV"	73	52	2015	40	"Tolima"
"299"	"ZIKV"	76	52	2015	7	"Valle del Cauca"
"300"	"ZIKV"	81	52	2015	1	"Arauca"
"301"	"ZIKV"	85	52	2015	3	"Casanare"
"302"	"ZIKV"	86	52	2015	1	"Putumayo"
"303"	"ZIKV"	88	52	2015	2	"San Andres"
"304"	"ZIKV"	91	52	2015	1	"Amazonas"
"305"	"ZIKV"	5	1	2016	30	"Antioquia"
"306"	"ZIKV"	8	1	2016	419	"Atlantico"
"307"	"ZIKV"	13	1	2016	25	"Bolivar"
"308"	"ZIKV"	15	1	2016	2	"Boyaca"
"309"	"ZIKV"	17	1	2016	3	"Caldas"
"310"	"ZIKV"	18	1	2016	23	"Caqueta"
"311"	"ZIKV"	19	1	2016	1	"Cauca"
"312"	"ZIKV"	20	1	2016	57	"Cesar"
"313"	"ZIKV"	23	1	2016	182	"Cordoba"
"314"	"ZIKV"	25	1	2016	113	"Cundinamarca"
"315"	"ZIKV"	41	1	2016	446	"Huila"
"316"	"ZIKV"	44	1	2016	40	"Guajira"
"317"	"ZIKV"	47	1	2016	226	"Magdalena"
"318"	"ZIKV"	50	1	2016	15	"Meta"
"319"	"ZIKV"	54	1	2016	914	"Norte Santander"
"320"	"ZIKV"	63	1	2016	4	"Quindio"
"321"	"ZIKV"	66	1	2016	16	"Risaralda"
"322"	"ZIKV"	68	1	2016	21	"Santander"
"323"	"ZIKV"	70	1	2016	75	"Sucre"
"324"	"ZIKV"	73	1	2016	201	"Tolima"
"325"	"ZIKV"	76	1	2016	31	"Valle del Cauca"
"326"	"ZIKV"	81	1	2016	7	"Arauca"
"327"	"ZIKV"	85	1	2016	10	"Casanare"
"328"	"ZIKV"	86	1	2016	3	"Putumayo"
"329"	"ZIKV"	88	1	2016	6	"San Andres"
"330"	"ZIKV"	91	1	2016	1	"Amazonas"
"331"	"ZIKV"	99	1	2016	2	"Vichada"
"332"	"ZIKV"	5	2	2016	43	"Antioquia"
"333"	"ZIKV"	8	2	2016	489	"Atlantico"
"334"	"ZIKV"	13	2	2016	43	"Bolivar"
"335"	"ZIKV"	15	2	2016	6	"Boyaca"
"336"	"ZIKV"	17	2	2016	3	"Caldas"
"337"	"ZIKV"	18	2	2016	21	"Caqueta"
"338"	"ZIKV"	19	2	2016	2	"Cauca"
"339"	"ZIKV"	20	2	2016	102	"Cesar"
"340"	"ZIKV"	23	2	2016	224	"Cordoba"
"341"	"ZIKV"	25	2	2016	210	"Cundinamarca"
"342"	"ZIKV"	41	2	2016	495	"Huila"
"343"	"ZIKV"	44	2	2016	39	"Guajira"
"344"	"ZIKV"	47	2	2016	168	"Magdalena"
"345"	"ZIKV"	50	2	2016	19	"Meta"
"346"	"ZIKV"	52	2	2016	1	"Narino"
"347"	"ZIKV"	54	2	2016	923	"Norte Santander"
"348"	"ZIKV"	63	2	2016	3	"Quindio"
"349"	"ZIKV"	66	2	2016	24	"Risaralda"
"350"	"ZIKV"	68	2	2016	38	"Santander"
"351"	"ZIKV"	70	2	2016	71	"Sucre"
"352"	"ZIKV"	73	2	2016	316	"Tolima"
"353"	"ZIKV"	76	2	2016	76	"Valle del Cauca"
"354"	"ZIKV"	81	2	2016	7	"Arauca"
"355"	"ZIKV"	85	2	2016	9	"Casanare"
"356"	"ZIKV"	86	2	2016	8	"Putumayo"
"357"	"ZIKV"	88	2	2016	6	"San Andres"
"358"	"ZIKV"	91	2	2016	2	"Amazonas"
"359"	"ZIKV"	5	3	2016	115	"Antioquia"
"360"	"ZIKV"	8	3	2016	594	"Atlantico"
"361"	"ZIKV"	13	3	2016	62	"Bolivar"
"362"	"ZIKV"	15	3	2016	13	"Boyaca"
"363"	"ZIKV"	17	3	2016	14	"Caldas"
"364"	"ZIKV"	18	3	2016	41	"Caqueta"
"365"	"ZIKV"	19	3	2016	6	"Cauca"
"366"	"ZIKV"	20	3	2016	123	"Cesar"
"367"	"ZIKV"	23	3	2016	367	"Cordoba"
"368"	"ZIKV"	25	3	2016	251	"Cundinamarca"
"369"	"ZIKV"	27	3	2016	1	"Choco"
"370"	"ZIKV"	41	3	2016	690	"Huila"
"371"	"ZIKV"	44	3	2016	68	"Guajira"
"372"	"ZIKV"	47	3	2016	201	"Magdalena"
"373"	"ZIKV"	50	3	2016	44	"Meta"
"374"	"ZIKV"	54	3	2016	1053	"Norte Santander"
"375"	"ZIKV"	63	3	2016	14	"Quindio"
"376"	"ZIKV"	66	3	2016	25	"Risaralda"
"377"	"ZIKV"	68	3	2016	85	"Santander"
"378"	"ZIKV"	70	3	2016	102	"Sucre"
"379"	"ZIKV"	73	3	2016	395	"Tolima"
"380"	"ZIKV"	76	3	2016	185	"Valle del Cauca"
"381"	"ZIKV"	81	3	2016	12	"Arauca"
"382"	"ZIKV"	85	3	2016	35	"Casanare"
"383"	"ZIKV"	86	3	2016	7	"Putumayo"
"384"	"ZIKV"	88	3	2016	9	"San Andres"
"385"	"ZIKV"	91	3	2016	2	"Amazonas"
"386"	"ZIKV"	95	3	2016	2	"Guaviare"
"387"	"ZIKV"	99	3	2016	2	"Vichada"
"388"	"ZIKV"	5	4	2016	152	"Antioquia"
"389"	"ZIKV"	8	4	2016	617	"Atlantico"
"390"	"ZIKV"	13	4	2016	91	"Bolivar"
"391"	"ZIKV"	15	4	2016	23	"Boyaca"
"392"	"ZIKV"	17	4	2016	42	"Caldas"
"393"	"ZIKV"	18	4	2016	82	"Caqueta"
"394"	"ZIKV"	19	4	2016	8	"Cauca"
"395"	"ZIKV"	20	4	2016	190	"Cesar"
"396"	"ZIKV"	23	4	2016	493	"Cordoba"
"397"	"ZIKV"	25	4	2016	332	"Cundinamarca"
"398"	"ZIKV"	27	4	2016	5	"Choco"
"399"	"ZIKV"	41	4	2016	796	"Huila"
"400"	"ZIKV"	44	4	2016	77	"Guajira"
"401"	"ZIKV"	47	4	2016	253	"Magdalena"
"402"	"ZIKV"	50	4	2016	97	"Meta"
"403"	"ZIKV"	52	4	2016	1	"Narino"
"404"	"ZIKV"	54	4	2016	1287	"Norte Santander"
"405"	"ZIKV"	63	4	2016	13	"Quindio"
"406"	"ZIKV"	66	4	2016	62	"Risaralda"
"407"	"ZIKV"	68	4	2016	171	"Santander"
"408"	"ZIKV"	70	4	2016	104	"Sucre"
"409"	"ZIKV"	73	4	2016	562	"Tolima"
"410"	"ZIKV"	76	4	2016	384	"Valle del Cauca"
"411"	"ZIKV"	81	4	2016	23	"Arauca"
"412"	"ZIKV"	85	4	2016	80	"Casanare"
"413"	"ZIKV"	86	4	2016	18	"Putumayo"
"414"	"ZIKV"	88	4	2016	9	"San Andres"
"415"	"ZIKV"	91	4	2016	13	"Amazonas"
"416"	"ZIKV"	95	4	2016	2	"Guaviare"
"417"	"ZIKV"	99	4	2016	2	"Vichada"
"418"	"ZIKV"	5	5	2016	214	"Antioquia"
"419"	"ZIKV"	8	5	2016	468	"Atlantico"
"420"	"ZIKV"	13	5	2016	77	"Bolivar"
"421"	"ZIKV"	15	5	2016	25	"Boyaca"
"422"	"ZIKV"	17	5	2016	22	"Caldas"
"423"	"ZIKV"	18	5	2016	117	"Caqueta"
"424"	"ZIKV"	19	5	2016	16	"Cauca"
"425"	"ZIKV"	20	5	2016	225	"Cesar"
"426"	"ZIKV"	23	5	2016	358	"Cordoba"
"427"	"ZIKV"	25	5	2016	317	"Cundinamarca"
"428"	"ZIKV"	27	5	2016	4	"Choco"
"429"	"ZIKV"	41	5	2016	694	"Huila"
"430"	"ZIKV"	44	5	2016	89	"Guajira"
"431"	"ZIKV"	47	5	2016	251	"Magdalena"
"432"	"ZIKV"	50	5	2016	174	"Meta"
"433"	"ZIKV"	52	5	2016	7	"Narino"
"434"	"ZIKV"	54	5	2016	1126	"Norte Santander"
"435"	"ZIKV"	63	5	2016	9	"Quindio"
"436"	"ZIKV"	66	5	2016	112	"Risaralda"
"437"	"ZIKV"	68	5	2016	266	"Santander"
"438"	"ZIKV"	70	5	2016	74	"Sucre"
"439"	"ZIKV"	73	5	2016	680	"Tolima"
"440"	"ZIKV"	76	5	2016	794	"Valle del Cauca"
"441"	"ZIKV"	81	5	2016	52	"Arauca"
"442"	"ZIKV"	85	5	2016	110	"Casanare"
"443"	"ZIKV"	86	5	2016	37	"Putumayo"
"444"	"ZIKV"	88	5	2016	13	"San Andres"
"445"	"ZIKV"	91	5	2016	30	"Amazonas"
"446"	"ZIKV"	94	5	2016	1	"Guainia"
"447"	"ZIKV"	95	5	2016	3	"Guaviare"
"448"	"ZIKV"	97	5	2016	3	"Vaupes"
"449"	"ZIKV"	99	5	2016	4	"Vichada"
"450"	"ZIKV"	5	6	2016	345	"Antioquia"
"451"	"ZIKV"	8	6	2016	257	"Atlantico"
"452"	"ZIKV"	13	6	2016	78	"Bolivar"
"453"	"ZIKV"	15	6	2016	14	"Boyaca"
"454"	"ZIKV"	17	6	2016	16	"Caldas"
"455"	"ZIKV"	18	6	2016	132	"Caqueta"
"456"	"ZIKV"	19	6	2016	14	"Cauca"
"457"	"ZIKV"	20	6	2016	157	"Cesar"
"458"	"ZIKV"	23	6	2016	256	"Cordoba"
"459"	"ZIKV"	25	6	2016	243	"Cundinamarca"
"460"	"ZIKV"	27	6	2016	8	"Choco"
"461"	"ZIKV"	41	6	2016	516	"Huila"
"462"	"ZIKV"	44	6	2016	79	"Guajira"
"463"	"ZIKV"	47	6	2016	200	"Magdalena"
"464"	"ZIKV"	50	6	2016	217	"Meta"
"465"	"ZIKV"	52	6	2016	2	"Narino"
"466"	"ZIKV"	54	6	2016	789	"Norte Santander"
"467"	"ZIKV"	63	6	2016	14	"Quindio"
"468"	"ZIKV"	66	6	2016	62	"Risaralda"
"469"	"ZIKV"	68	6	2016	270	"Santander"
"470"	"ZIKV"	70	6	2016	44	"Sucre"
"471"	"ZIKV"	73	6	2016	577	"Tolima"
"472"	"ZIKV"	76	6	2016	1000	"Valle del Cauca"
"473"	"ZIKV"	81	6	2016	54	"Arauca"
"474"	"ZIKV"	85	6	2016	93	"Casanare"
"475"	"ZIKV"	86	6	2016	48	"Putumayo"
"476"	"ZIKV"	88	6	2016	8	"San Andres"
"477"	"ZIKV"	91	6	2016	8	"Amazonas"
"478"	"ZIKV"	94	6	2016	3	"Guainia"
"479"	"ZIKV"	95	6	2016	1	"Guaviare"
"480"	"ZIKV"	97	6	2016	2	"Vaupes"
"481"	"ZIKV"	5	7	2016	263	"Antioquia"
"482"	"ZIKV"	8	7	2016	278	"Atlantico"
"483"	"ZIKV"	13	7	2016	45	"Bolivar"
"484"	"ZIKV"	15	7	2016	8	"Boyaca"
"485"	"ZIKV"	17	7	2016	12	"Caldas"
"486"	"ZIKV"	18	7	2016	105	"Caqueta"
"487"	"ZIKV"	19	7	2016	16	"Cauca"
